Artist Name          Album Title                  Song Title             Position  Duration
THERION              DEGGIAL                      DEGGIAL                       6              5:03    
THERION              DEGGIAL                      EMERALD CROWN                 7              5:29    
THERION              DEGGIAL                      FLIGHT OF THE LORD O          8              1:22    
THERION              DEGGIAL                      FLESH OF THE GODS             9              4:06    
THERION              DEGGIAL                      VIA NOCTURNA (I II)           10             9:33    
THERION              DEGGIAL                      O FORTUNA                     11             3:26    

Here are the artist in the collection:
 2 PAC
 ALICE IN CHAINS
 BARRY WHITE
 BERLIN
 CARLOS SANTANA
 CELINE DION
 COUNTING CROWS
 ENIGMA
 GIPSYLAND
 GREEN DAY
 HONEY FAMILY
 JUVENILE
 LAURIE ANDERSON
 LED ZEPPELIN
 LINKIN PARK
 MANA
 NELLY
 PHISH
 SCOOTER
 SNOOP DOGG
 SUBLIME
 THERION
